Chunk Type,Fund Name,Source URL,Data
expense_information,UTI Large & Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-large-mid-cap-fund-direct-growth,"{""expense_ratio"": ""0.97%"", ""exit_load"": ""A fee payable to a mutual fund house for exiting a fund (fully or partially) before the completion of a specified period from the date of investment"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/uti-long-term-equity-fund-tax-saving-direct-growth,"{""expense_ratio"": ""0.91%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Gold ETF FoF Direct Growth,https://groww.in/mutual-funds/uti-gold-etf-fof-direct-growth,"{""expense_ratio"": ""0.18%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Transportation and Logistics Fund Direct Growth,https://groww.in/mutual-funds/uti-transportation-and-logistics-fund-direct-growth,"{""expense_ratio"": ""0.82%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Healthcare Fund Direct Growth,https://groww.in/mutual-funds/uti-pharma-and-healthcare-fund-direct-growth,"{""expense_ratio"": ""1.31%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-small-cap-fund-direct-growth,"{""expense_ratio"": ""0.64%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Value Fund Direct Growth,https://groww.in/mutual-funds/uti-value-fund-direct-growth,"{""expense_ratio"": ""1.18%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-mid-cap-fund-direct-growth,"{""expense_ratio"": ""0.91%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Nifty Next 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-next-50-index-fund-direct-growth,"{""expense_ratio"": ""0.34%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Banking and Financial Services Fund Direct Plan Growth,https://groww.in/mutual-funds/uti-banking-sector-fund-direct-growth,"{""expense_ratio"": ""1.11%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Nifty 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-fund-direct-growth,"{""expense_ratio"": ""0.17%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-equity-fund-direct-growth,"{""expense_ratio"": ""1.01%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Money Market Fund Regular Plan Growth,https://groww.in/mutual-funds/uti-money-market-fund-regular-plan-growth,"{""expense_ratio"": ""0.22%"", ""stamp_duty"": ""0.005%""}"
expense_information,UTI Liquid Direct Growth,https://groww.in/mutual-funds/uti-liquid-cash-plan-direct-growth,"{""expense_ratio"": ""0.15%"", ""stamp_duty"": ""0.005%""}"
expense_information,UTI MNC Fund Direct Growth,https://groww.in/mutual-funds/uti-mnc-fund-direct-growth,"{""expense_ratio"": ""1.25%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI India Consumer Fund Direct Growth,https://groww.in/mutual-funds/uti-india-lifestyle-fund-direct-growth,"{""expense_ratio"": ""1.57%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Long Term Advantage Fund Series III Direct Growth,https://groww.in/mutual-funds/uti-long-term-advantage-fund-series-iii-direct-growth,"{""expense_ratio"": ""1.27%"", ""stamp_duty"": ""0.005%""}"
expense_information,UTI Healthcare Fund Direct IDCW,https://groww.in/mutual-funds/uti-pharma-and-healthcare-fund-direct-dividend,"{""expense_ratio"": ""1.31%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Income Plus Arbitrage Active FoF Direct Growth,https://groww.in/mutual-funds/uti-i-come-plus-arbitrage-active-fof-direct-growth,"{""expense_ratio"": ""0.05%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI India Consumer Fund Direct IDCW,https://groww.in/mutual-funds/uti-india-lifestyle-fund-direct-dividend,"{""expense_ratio"": ""1.57%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/uti-infrastructure-fund-direct-growth,"{""expense_ratio"": ""1.89%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Innovation Fund Direct Growth,https://groww.in/mutual-funds/uti-innovation-fund-direct-growth,"{""expense_ratio"": ""0.89%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Large & Mid Cap Fund Direct IDCW,https://groww.in/mutual-funds/uti-top-100-fund-direct-dividend,"{""expense_ratio"": ""0.97%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Large Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-unit-scheme-1986-mastershare-direct-growth,"{""expense_ratio"": ""0.93%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Large Cap Fund Direct IDCW,https://groww.in/mutual-funds/uti-unit-scheme-1986-mastershare-direct-dividend,"{""expense_ratio"": ""0.93%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Liquid Cash Plan Direct IDCW Monthly,https://groww.in/mutual-funds/uti-liquid-cash-plan-direct-monthly-dividend,"{""expense_ratio"": ""0.15%"", ""stamp_duty"": ""0.005%""}"
expense_information,UTI Long Duration Fund Direct IDCW Quarterly,https://groww.in/mutual-funds/uti-long-duration-fund-direct-idcw-quarterly,"{""expense_ratio"": ""0.63%"", ""stamp_duty"": ""0.005%""}"
expense_information,UTI Long Term Advantage Fund Series V Direct Growth,https://groww.in/mutual-funds/uti-long-term-advantage-fund-series-v-direct-growth,"{""expense_ratio"": ""0.73%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Monthly Income Scheme Direct Growth,https://groww.in/mutual-funds/uti-monthly-i-come-scheme-direct-growth,"{""expense_ratio"": ""0.56%"", ""stamp_duty"": ""0.005%""}"
expense_information,UTI Multi Asset Allocation Fund Direct Growth,https://groww.in/mutual-funds/uti-wealth-builder-fund-direct-growth,"{""expense_ratio"": ""0.58%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Multi Cap Fund (Ex) Direct Growth,https://groww.in/mutual-funds/uti-multi-cap-fund-%28ex%29-direct-growth,"{""expense_ratio"": ""2.12%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-multi-cap-fund-direct-growth,"{""expense_ratio"": ""0.42%"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Nifty 500 Value 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-500-value-50-index-fund-direct-growth,"{""expense_ratio"": ""0.62%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Nifty Alpha Low Volatility 30 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-alpha-low-volatility-30-index-fund-direct-growth,"{""expense_ratio"": ""0.69%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
expense_information,UTI Nifty India Manufacturing Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-india-manufacturing-index-fund-direct-growth,"{""expense_ratio"": ""0.68%"", ""exit_load"": ""Nil"", ""min_sip"": 500, ""stamp_duty"": ""0.005%""}"
performance_metrics,UTI Large & Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-large-mid-cap-fund-direct-growth,"{""pe_ratio"": 20.14, ""pb_ratio"": 3.03}"
performance_metrics,UTI ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/uti-long-term-equity-fund-tax-saving-direct-growth,"{""pe_ratio"": 25.55, ""pb_ratio"": 3.79}"
performance_metrics,UTI Transportation and Logistics Fund Direct Growth,https://groww.in/mutual-funds/uti-transportation-and-logistics-fund-direct-growth,"{""pe_ratio"": 31.03, ""pb_ratio"": 5.58}"
performance_metrics,UTI Healthcare Fund Direct Growth,https://groww.in/mutual-funds/uti-pharma-and-healthcare-fund-direct-growth,"{""pe_ratio"": 39.36, ""pb_ratio"": 5.6}"
performance_metrics,UTI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-small-cap-fund-direct-growth,"{""pe_ratio"": 32.25, ""pb_ratio"": 4.33}"
performance_metrics,UTI Value Fund Direct Growth,https://groww.in/mutual-funds/uti-value-fund-direct-growth,"{""pe_ratio"": 22.14, ""pb_ratio"": 3.02}"
performance_metrics,UTI Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-mid-cap-fund-direct-growth,"{""pe_ratio"": 32.93, ""pb_ratio"": 4.83}"
performance_metrics,UTI Nifty Next 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-next-50-index-fund-direct-growth,"{""pe_ratio"": 21.6, ""pb_ratio"": 3.68}"
performance_metrics,UTI Banking and Financial Services Fund Direct Plan Growth,https://groww.in/mutual-funds/uti-banking-sector-fund-direct-growth,"{""pe_ratio"": 19.02, ""pb_ratio"": 2.66}"
performance_metrics,UTI Nifty 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-fund-direct-growth,"{""pe_ratio"": 24.11, ""pb_ratio"": 3.6}"
performance_metrics,UTI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-equity-fund-direct-growth,"{""pe_ratio"": 39.3, ""pb_ratio"": 6.04}"
performance_metrics,UTI MNC Fund Direct Growth,https://groww.in/mutual-funds/uti-mnc-fund-direct-growth,"{""pe_ratio"": 37.76, ""pb_ratio"": 6.93}"
performance_metrics,UTI India Consumer Fund Direct Growth,https://groww.in/mutual-funds/uti-india-lifestyle-fund-direct-growth,"{""pe_ratio"": 43.62, ""pb_ratio"": 8.08}"
performance_metrics,UTI Long Term Advantage Fund Series III Direct Growth,https://groww.in/mutual-funds/uti-long-term-advantage-fund-series-iii-direct-growth,"{""pe_ratio"": 29.01, ""pb_ratio"": 3.07}"
fund_characteristics,UTI Large & Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-large-mid-cap-fund-direct-growth,"{""fund_size"": ""5291.10 Cr"", ""fund_manager"": ""V Srivatsa"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Large & MidCap"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Large & MidCap""}"
fund_characteristics,UTI ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/uti-long-term-equity-fund-tax-saving-direct-growth,"{""fund_size"": ""3778.10 Cr"", ""fund_manager"": ""Amit Kumar Premchandani"", ""lock_in"": ""3Y"", ""scheme_type"": ""ELSS"", ""sub_category"": ""ELSS"", ""is_elss"": ""Yes"", ""category_label"": ""ELSS""}"
fund_characteristics,Where can I get the transaction history?,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,"{""is_elss"": ""No""}"
fund_characteristics,UTI Gold ETF FoF Direct Growth,https://groww.in/mutual-funds/uti-gold-etf-fof-direct-growth,"{""fund_size"": ""608.97 Cr"", ""fund_manager"": ""Sharwan Kumar Goyal"", ""scheme_type"": ""DEBT"", ""sub_category"": ""Gold"", ""is_elss"": ""No"", ""category_label"": ""DEBT Gold""}"
fund_characteristics,UTI Transportation and Logistics Fund Direct Growth,https://groww.in/mutual-funds/uti-transportation-and-logistics-fund-direct-growth,"{""fund_size"": ""4008.33 Cr"", ""fund_manager"": ""Sachin Trivedi"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Thematic"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Thematic""}"
fund_characteristics,UTI Healthcare Fund Direct Growth,https://groww.in/mutual-funds/uti-pharma-and-healthcare-fund-direct-growth,"{""fund_size"": ""1124.88 Cr"", ""fund_manager"": ""Kamal Gada"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Sectoral"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Sectoral""}"
fund_characteristics,UTI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-small-cap-fund-direct-growth,"{""fund_size"": ""4917.65 Cr"", ""fund_manager"": ""Nitin Jain"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Small Cap"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Small Cap""}"
fund_characteristics,UTI Value Fund Direct Growth,https://groww.in/mutual-funds/uti-value-fund-direct-growth,"{""fund_size"": ""10057.81 Cr"", ""fund_manager"": ""Amit Kumar Premchandani"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Value Oriented"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Value Oriented""}"
fund_characteristics,UTI Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-mid-cap-fund-direct-growth,"{""fund_size"": ""12101.13 Cr"", ""fund_manager"": ""Vishal Chopda"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Mid Cap"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Mid Cap""}"
fund_characteristics,UTI Nifty Next 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-next-50-index-fund-direct-growth,"{""fund_size"": ""5941.07 Cr"", ""fund_manager"": ""Sharwan Kumar Goyal"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Large Cap"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Large Cap""}"
fund_characteristics,UTI Banking and Financial Services Fund Direct Plan Growth,https://groww.in/mutual-funds/uti-banking-sector-fund-direct-growth,"{""fund_size"": ""1346.79 Cr"", ""fund_manager"": ""Amit Kumar Premchandani"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Sectoral"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Sectoral""}"
fund_characteristics,UTI Nifty 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-fund-direct-growth,"{""fund_size"": ""25747.56 Cr"", ""fund_manager"": ""Sharwan Kumar Goyal"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Large Cap"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Large Cap""}"
fund_characteristics,UTI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-equity-fund-direct-growth,"{""fund_size"": ""25757.27 Cr"", ""fund_manager"": ""Kamal Gada"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Flexi Cap"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Flexi Cap""}"
fund_characteristics,UTI Money Market Fund Regular Plan Growth,https://groww.in/mutual-funds/uti-money-market-fund-regular-plan-growth,"{""fund_size"": ""20351.52 Cr"", ""fund_manager"": ""Anurag Mittal"", ""scheme_type"": ""DEBT"", ""sub_category"": ""Money Market"", ""is_elss"": ""No"", ""category_label"": ""DEBT Money Market""}"
fund_characteristics,UTI Liquid Direct Growth,https://groww.in/mutual-funds/uti-liquid-cash-plan-direct-growth,"{""fund_size"": ""28884.74 Cr"", ""fund_manager"": ""Amit Sharma"", ""scheme_type"": ""LIQUID"", ""sub_category"": ""Liquid"", ""is_elss"": ""No"", ""category_label"": ""LIQUID Liquid""}"
fund_characteristics,UTI MNC Fund Direct Growth,https://groww.in/mutual-funds/uti-mnc-fund-direct-growth,"{""fund_size"": ""2904.35 Cr"", ""fund_manager"": ""Karthikraj Lakshmanan"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Thematic"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Thematic""}"
fund_characteristics,UTI India Consumer Fund Direct Growth,https://groww.in/mutual-funds/uti-india-lifestyle-fund-direct-growth,"{""fund_size"": ""734.67 Cr"", ""fund_manager"": ""Vicky Punjabi"", ""scheme_type"": ""EQUITY"", ""sub_category"": ""Thematic"", ""is_elss"": ""No"", ""category_label"": ""EQUITY Thematic""}"
fund_characteristics,UTI Long Term Advantage Fund Series III Direct Growth,https://groww.in/mutual-funds/uti-long-term-advantage-fund-series-iii-direct-growth,"{""fund_size"": ""260.96 Cr"", ""fund_manager"": ""Vishal Chopda"", ""scheme_type"": ""NORMAL"", ""sub_category"": ""ELSS"", ""is_elss"": ""Yes"", ""category_label"": ""NORMAL ELSS""}"
risk_information,UTI Large & Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-large-mid-cap-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""5.65"", ""beta"": ""0.99"", ""sharpe"": ""1.11"", ""sortino"": ""1.64""}, ""benchmark"": ""NIFTY Large Midcap 250 TRI""}"
risk_information,UTI ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/uti-long-term-equity-fund-tax-saving-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.94"", ""sharpe"": ""0.59"", ""sortino"": ""0.91""}, ""benchmark"": ""NIFTY 500 TRI""}"
risk_information,Where can I get the transaction history?,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,"{""risk_metrics"": {""alpha"": ""50""}}"
risk_information,UTI Gold ETF FoF Direct Growth,https://groww.in/mutual-funds/uti-gold-etf-fof-direct-growth,"{""riskometer"": ""High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.97"", ""sharpe"": ""1.78"", ""sortino"": ""3.97""}, ""benchmark"": ""Domestic Price of Gold""}"
risk_information,UTI Transportation and Logistics Fund Direct Growth,https://groww.in/mutual-funds/uti-transportation-and-logistics-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""0.49"", ""beta"": ""0.89"", ""sharpe"": ""1.08"", ""sortino"": ""1.42""}, ""benchmark"": ""Nifty Transportation & Logistics TRI""}"
risk_information,UTI Healthcare Fund Direct Growth,https://groww.in/mutual-funds/uti-pharma-and-healthcare-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""1.73"", ""beta"": ""0.95"", ""sharpe"": ""1.10"", ""sortino"": ""1.79""}, ""benchmark"": ""BSE Healthcare TRI""}"
risk_information,UTI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-small-cap-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""0.18"", ""beta"": ""0.86"", ""sharpe"": ""0.81"", ""sortino"": ""1.17""}, ""benchmark"": ""NIFTY Smallcap 250 TRI""}"
risk_information,UTI Value Fund Direct Growth,https://groww.in/mutual-funds/uti-value-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""3.13"", ""beta"": ""0.91"", ""sharpe"": ""0.96"", ""sortino"": ""1.55""}, ""benchmark"": ""NIFTY 500 TRI""}"
risk_information,UTI Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-mid-cap-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.96"", ""sharpe"": ""0.73"", ""sortino"": ""1.03""}, ""benchmark"": ""NIFTY Midcap 150 TRI""}"
risk_information,UTI Nifty Next 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-next-50-index-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""0.87"", ""beta"": ""1.32"", ""sharpe"": ""0.69"", ""sortino"": ""0.95""}, ""benchmark"": ""NIFTY Next 50 TRI""}"
risk_information,UTI Banking and Financial Services Fund Direct Plan Growth,https://groww.in/mutual-funds/uti-banking-sector-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""5.35"", ""beta"": ""0.86"", ""sharpe"": ""0.85"", ""sortino"": ""1.99""}, ""benchmark"": ""NIFTY Financial Services TRI""}"
risk_information,UTI Nifty 50 Index Fund Direct Growth,https://groww.in/mutual-funds/uti-nifty-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.95"", ""sharpe"": ""0.62"", ""sortino"": ""1.03""}, ""benchmark"": ""NIFTY 50 TRI""}"
risk_information,UTI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-equity-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.83"", ""sharpe"": ""0.46"", ""sortino"": ""0.70""}, ""benchmark"": ""NIFTY 500 TRI""}"
risk_information,UTI Money Market Fund Regular Plan Growth,https://groww.in/mutual-funds/uti-money-market-fund-regular-plan-growth,"{""riskometer"": ""Low to Moderate"", ""risk_metrics"": {""alpha"": ""2.51"", ""beta"": ""0.83"", ""sharpe"": ""3.44"", ""sortino"": ""7.72""}, ""benchmark"": ""CRISIL Money Market A-I Index""}"
risk_information,UTI Liquid Direct Growth,https://groww.in/mutual-funds/uti-liquid-cash-plan-direct-growth,"{""riskometer"": ""Low to Moderate"", ""risk_metrics"": {""alpha"": ""1.23"", ""beta"": ""0.36"", ""sharpe"": ""3.58"", ""sortino"": ""4.94""}, ""benchmark"": ""NIFTY Liquid Index A-I""}"
risk_information,UTI MNC Fund Direct Growth,https://groww.in/mutual-funds/uti-mnc-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""0.18"", ""beta"": ""0.85"", ""sharpe"": ""0.68"", ""sortino"": ""0.87""}, ""benchmark"": ""NIFTY MNC TRI""}"
risk_information,UTI India Consumer Fund Direct Growth,https://groww.in/mutual-funds/uti-india-lifestyle-fund-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""0.84"", ""sharpe"": ""0.59"", ""sortino"": ""0.78""}, ""benchmark"": ""NIFTY India Consumption TRI""}"
risk_information,UTI Long Term Advantage Fund Series III Direct Growth,https://groww.in/mutual-funds/uti-long-term-advantage-fund-series-iii-direct-growth,"{""riskometer"": ""Very High"", ""risk_metrics"": {""alpha"": ""50"", ""beta"": ""1.10"", ""sharpe"": ""0.49"", ""sortino"": ""0.53""}, ""benchmark"": ""BSE 100 TRI""}"
platform_information,Where can I get the transaction history?,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,"{""statement_download_info"": ""Steps to request your Transaction/Order History: Go to your profile.""}"
platform_information,Groww Platform,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,"{""is_elss"": ""No"", ""risk_metrics"": {""alpha"": ""50""}, ""statement_download_info"": ""Steps to request your Transaction/Order History: Go to your profile.""}"
